,type,category,review,star
1,에어팟 2세대(유선),음질,안드로이드 폰만 사용중이예요. 그래서 구매를 망설였는데 연결 잘 되고 소리도 잘 나네요. 이어팟 음질에 실망해 의심스러웠던 음질은 나름 괜찮습니다. 사용 편의성은 다른 코드리스 이어폰을 사용해 봐서 그런지 뺐다 꼈다 하기가 좀 불편하네요. 기본 구성이구 최저가격은 아니지만 한 번에 두 개 살 수 있는 곳이라서 구매했어요. 배송 빠르고 2019년 9월 생산품으로 잘 받았습니다. 비싼 감이 있어 망설였지만 사람들이 왜 이것을 사게 되는지에 대한 인지는 바로 하게 되었구요. 편리하고 예쁩니다.,5
2,에어팟 2세대(유선),음질,"@가격 : 에어팟 2 요즘에 그냥 다 이 가격대 인것 같아 싸게 산것 같진 않고 그냥 보통? 그냥 그 가격; 이미 프로도 나왔으니...
@기기 : 뭐 요즘 짭 많다 하는데 내가 짭을 경험 해본 경우가 없어서... 근데 수령하고 에어팟 열면 아이폰 같은 경우 자동 등록 되는것 같고 뭐 상세한 설정 같은것; 아이폰 사이트 보증 등록, 본인 기기 설정, 등 만 조금만 하면 되고 기기 자체는 상태 괜찮은 듯 하다. 나는 조금 늦은 3월에 샀는데 20년 01월 제품으로 들어옴.
@에어팟 프로와 비교 : 물론 개인 만족 이지만 나는 실제 프로와 2 둘다 봤는데 솔직히 프로가 더 작고 디자인도 더 편해보이고 작아서 디자인 면에서는 프로가 괜찮지만 나는 개인적으로 커널형 이라지만 앞에 고무 달린 이어폰을 개인적으로 별로 안좋아 해서 ; 이물질 같은것도 더 많이 묻고 닦다 보면은 고무도 늘어나고 에어팟 기존의 형태가 . ...
@무선과 유선 : 요즘에 뭐 무선 충전 많이 하고 카페 같은데 가도 무선 충전기 들이 다 배치 되어 있어서 편하긴 하지만. 솔직히 프로 사는거 아니고 나와 같이 에어팟2 사는데 무선 유선 고민 한다면 뭐 갠취 지만 나는 유선 추천. 어차피 이 허얗고 조그만 한거 그 카페에서 무선 충전 한다고 냅둬 봤자 언젠가 잃어 버린다. 어차피 집에서 충전을 가장 많이 할텐데 둘중에 사야 한다면 그냥 유선 사는게 그나마 가성비다.",5
3,에어팟 2세대(유선),음질,감사합니다 판매자 분 159300원에 풀어 준 옥션도?? 역시 넘 이뻐요.. 음질도 상자 하자나 상품에 이상 없이 잘 와서 너무 좋구 다른 곳은 후기에 쓰던 것 파는 것 같은 그런 휴기도 보고해서 사실 조금 걱정했는데 완전 새거 정품등록도 잘 되었구 음질도 좋구 아주 좋아요?? 또 다시 저 특가 나오면 언니 선물해 주고 싶네요^__^ 아 너무 젛아여 옥션 정말정말 감사해요?? 아 그런데 에어팟 박스 안쪽에 살짝 지저분하게 오고 포장은 뽁뽁이로 아주 잘 포장해 주셔서 좋은데 안에 약간 지푸라기..? 솔나무에 솔잎 말라서 갈색 된 마른잎 같은게 있었는데 그냥 내 에어팟만 괜팒으면 상관 ㄴㄴ 하고 신경 안썼긴 했는데 예민하신 분들은 혹시라도 참고해두시길..? 제 것만 그런거일수도.. 그래도 전 괜차나여^__^,5
4,에어팟 2세대(유선),음질,"19년도 11월 제품이고 정품등록 바로 되고
하자없이 잘 작동합니다
평생 유선만 사용할줄 알았는데 은근 불편하고 고민하다 에어팟 구매하고 사용해보니 삶의 질이 달라집니다
음질은 이어팟이상으로 좋고 무선이다 보니 자유로운 느낌입니다
처음 개봉시 배터리도 70퍼 이상이었고 왼쪽 오른쪽 두번 터치로 시리를 부르거나 노래 재생 일시정지 등 기능 잘 작동합니다
믿고 구매하셔도 됩니다
무선 장점이 폰을 안들고 다녀도 전화올때 실시간으로 알려주고 문자 알림 등 다 확인할수있어요
사람마다 다르겠지만 저는 정말 유용하게 사용하는 중입니다 에어팟 프로와 고민했지만 커널형이 저랑 맞지않아 고민하지않고 오픈형이라 귀에 부담이 덜가는 2세대를 선택했습니다
요즘 가품들도 구별하기 힘들고 타사이트보다는 ssg라서 믿고 구매했습니다 정품 맞습니다 나중에 에어팟 프로나 후속작 나오면 ssg닷컴에서 구매할 예정입니다
철가루 방지 스티커 필수입니다 케이스도 같이 주문해서 잘사용하고 있습니다",5
5,에어팟 2세대(유선),음질,"19년도 11월 제품이고 정품등록 바로 되고
하자없이 잘 작동합니다
평생 유선만 사용할줄 알았는데 은근 불편하고 고민하다 에어팟 구매하고 사용해보니 삶의 질이 달라집니다
음질은 이어팟이상으로 좋고 무선이다 보니 자유로운 느낌입니다
처음 개봉시 배터리도 70퍼 이상이었고 왼쪽 오른쪽 두번 터치로 시리를 부르거나 노래 재생 일시정지 등 기능 잘 작동합니다
믿고 구매하셔도 됩니다
무선 장점이 폰을 안들고 다녀도 전화올때 실시간으로 알려주고 문자 알림 등 다 확인할수있어요
사람마다 다르겠지만 저는 정말 유용하게 사용하는 중입니다 에어팟 프로와 고민했지만 커널형이 저랑 맞지않아 고민하지않고 오픈형이라 귀에 부담이 덜가는 2세대를 선택했습니다
요즘 가품들도 구별하기 힘들고 타사이트보다는 ssg라서 믿고 구매했습니다 정품 맞습니다 나중에 에어팟 프로나 후속작 나오면 ssg닷컴에서 구매할 예정입니다
철가루 방지 스티커 필수입니다 케이스도 같이 주문해서 잘사용하고 있습니다",5
6,에어팟 2세대(유선),음질,"제품 매우 만족. 1세대 유저로서 2세대 비슷하다라는 의견 있으나 저는 음질이 더 좋아 진듯 들리고 케이스도 더 슬림 해져 예쁘고요. 사전예약 판매로 진행 되었는데 공지 통해 상황 잘 알 수 있었고, 발송 인폼 받고 다음 날 오전에 바로 수령~",5
7,에어팟 2세대(유선),음질,유선보다 편리하게 사용할 수 있어 좋아요 그리고 충전시 사용시간이 걱정한것보다 많이 길어서 불편하지 않아요 커이스에 담아와서 충전 사용하고 써보고 샤넬 금박장식 케이스는 별도로 주문해뒀는데 예뻐게 고급지게 잘 구입한것 같아요 제품이 빛나고 아주 값어치를 하네요 좋은 제품 감사합시다~^♡ 음질도 나뻐지는 않은것같아 편리함에 만족해요 에어팟 2대 추천해요~^♡ Lovelysky40 Dream~^♡,5
8,에어팟 2세대(유선),음질,"유선충전케이스 타입을 구매한터라 1세대와 차이가 거의 없는 듯하여 당황하였으나, 정품등록을 하니 2세대 모델명이 정확하게 확인되는군요.

안드로이드폰 사용자라 블루투스연결 기기명이 이상한 문자로 나타나지만 페어링이 아주 빠르고 음질, 디자인 더이상 언급할 필요없이 아주 좋아 만족족도가 높네요.

웹에 올린 전문 이용후기를 보니, 2세대가 기능적인 업그레이드는 제법 된듯하지만, 유선충전타입의 경우는 외관상으로 케이스의 페어링 버튼이 중앙으로 이동된것 말고는 차이점이 없어 1세대 사용자와 기기가 바뀌면 순간적으로 혼돈을 일으킬수도 있겠군요. 물론 아이폰사용자라면 페어링하면서 2세대 모델명이뜨고, SIRI야 기능으로 바로 확인이 가능하지만 저처럼 안드로이드폰 사용자들은 주의해야할듯 합니다.

가격이 비싸다는 단점이 있지만 심미적 디자인 갬성으로 많은 사람들이 선호하는 제품이라는 것에는 동감을 하고 있습니다

아이들에게 보상을 위해 선물용으로 구매했는데, 너무나도 좋아하니 한번더 기분좋아지네요.",5
9,에어팟 2세대(유선),음질,"유선충전케이스 타입을 구매한터라 1세대와 차이가 거의 없는 듯하여 당황하였으나, 정품등록을 하니 2세대 모델명이 정확하게 확인되는군요.

안드로이드폰 사용자라 블루투스연결 기기명이 이상한 문자로 나타나지만 페어링이 아주 빠르고 음질, 디자인 더이상 언급할 필요없이 아주 좋아 만족족도가 높네요.

웹에 올린 전문 이용후기를 보니, 2세대가 기능적인 업그레이드는 제법 된듯하지만, 유선충전타입의 경우는 외관상으로 케이스의 페어링 버튼이 중앙으로 이동된것 말고는 차이점이 없어 1세대 사용자와 기기가 바뀌면 순간적으로 혼돈을 일으킬수도 있겠군요. 물론 아이폰사용자라면 페어링하면서 2세대 모델명이뜨고, SIRI야 기능으로 바로 확인이 가능하지만 저처럼 안드로이드폰 사용자들은 주의해야할듯 합니다.

가격이 비싸다는 단점이 있지만 심미적 디자인 갬성으로 많은 사람들이 선호하는 제품이라는 것에는 동감을 하고 있습니다

아이들에게 보상을 위해 선물용으로 구매했는데, 너무나도 좋아하니 한번더 기분좋아지네요.",5
10,에어팟 2세대(유선),음질,"계속 기다리던차에 지마켓 특별할인가 159,000에 득템했네요개봉했을때 사진이 없어 철가루 방지스티커 부착후사진 첨부합니다. 블투이어폰이 필요해서 계속 시중에 수많은 제품들 후보에 올리고 고민하다가 의도치않게 아이폰을 구매하게 되어 호환성 최고인 에어팟2세대로 고민없이 결정했네요. 배송은 하루만에왔어요.블투이어폰 많이 안써본터라 비교는 생략하고 장점만 말씀드리면1. 많이 안쓰던사람이 써도 어색할뿐 귀가아프거나 불편하지 안하요.2. 운전을 많이 해서 블투통화시간이 긴데도 끊김전혀없이 통화품질 좋네요.3. 해축성애자라 해축동영상 많이보는데 귀에서 제거시 영상멈춰줘서 돌려보기안해도 되서 꿀이요.이상이 제가 느끼는 장점이고 나머지 장점들은 다 아실터이니 단점한가지만 적자면 @철가루가 많이붙는다@ 정도로만 느껴집니다. 구매하시는 분들은 구매하시자마자 스티커부착 강추합니다. 싸구려붙이시면 효과떨어져서 그어려운 스티커부착노가다를 여러번 하셔야하니 가격좀 있더라도 장착점에서 좋은거 사셔서 붙여달라고 하시는게 수명연장에 도움이 됩니다 ㅜㅜ무튼 지마켓덕분에 생활이 편리해졌어요~ 잘쓸게요",5
11,에어팟 2세대(유선),음질,에어팟은 아이폰에만 쓸 수 있다는 고정관념을 갖고 있다가친구가 블루투스이어폰인데 갤럭시도 당연히 된다는 말을 듣고고민하다가 주문했습니다.받고나서 연결도 자동으로 되어서 좋았고알라딘 음악을 틀어서 들어봤는데 영화관에서 듣는 느낌!완전 반했습니다~출퇴근하면서 음악 듣는 습관이 생기고 있습니다.일반 이어폰과는 정말 비교도 안됩니다2시간정도 끼고 들으며 눌려서 그런지 오른쪽 귀가 좀 아팠어요;역시 제 귓구멍은 좀 작은 편인지 오른쪽이 특히나 떨어질것 같은 느낌이 들어요 2번 떨어뜨렸어요;; 그치만 음질이 너무 좋아서 매우매우 만족합니다!함께 주는 실리콘케이스가 흰색이 와서 좀 실망했어요;;철가루방지스티커는 없었습니다.,5
